hallwayCarp,Time
0,1583076602
0,1583076618
0,1583076621
0,1583077172
0,1583077176
0,1583077433
1,1583077434
0,1583077439
0,1583077577
0,1583077578
1,1583078494
1,1583078495
0,1583078496
0,1583078503
0,1583078504
1,1583082874
0,1583082877
0,1583082878
1,1583083540
0,1583083545
1,1583083548
0,1583083549
0,1583083557
0,1583083558
1,1583091080
0,1583091093
0,1583091094
0,1583091350
1,1583091351
0,1583091359
1,1583112611
0,1583112623
0,1583112625
1,1583112939
0,1583112949
0,1583113073
1,1583113074
0,1583113077
0,1583113214
0,1583113215
1,1583113944
1,1583113945
0,1583113948
1,1583114855
1,1583114856
0,1583114857
1,1583116374
0,1583116375
1,1583117099
0,1583117100
0,1583117101
1,1583117321
0,1583117322
1,1583120939
1,1583120940
1,1583120942
0,1583120943
1,1583123368
1,1583123369
0,1583123370
0,1583123982
1,1583123983
0,1583123984
0,1583123989
0,1583127608
1,1583127610
0,1583127611
1,1583127831
0,1583127834
0,1583128758
1,1583128760
0,1583128762
1,1583128768
1,1583128783
0,1583128784
1,1583128794
0,1583128796
0,1583128797
0,1583129114
0,1583129247
0,1583129248
0,1583140148
0,1583140219
0,1583140221
0,1583422201
0,1583422643
0,1583422645
0,1583423315
0,1583423316
0,1583423325
0,1583423327
1,1583423329
1,1583423335
0,1583423336
1,1583424395
1,1583424398
1,1583424399
0,1583424403
1,1583424416
0,1583424418
0,1583424421
0,1583424467
1,1583424468
0,1583424470
1,1583424472
1,1583424473
0,1583424477
1,1583382620
0,1583382631
0,1583554817
0,1583383144
1,1583383145
0,1583383150
0,1583555109
1,1583555112
1,1583383221
1,1583555115
1,1583383234
1,1583383235
0,1583555125
1,1583388648
1,1583388650
1,1583388651
1,1583562476
0,1583562477
1,1583562518
0,1583562519
1,1583392270
0,1583392271
0,1583392272
1,1583393333
1,1583562569
0,1583562573
0,1583422201
0,1583422643
0,1583422645
0,1583423315
0,1583423316
0,1583423325
0,1583423327
1,1583423329
1,1583423335
0,1583423336
1,1583424395
1,1583424398
1,1583424399
0,1583424403
1,1583424416
0,1583424418
0,1583424421
0,1583424467
1,1583424468
0,1583424470
1,1583424472
1,1583424473
0,1583424477
1,1583488144
0,1583488150
1,1583488480
1,1583488481
1,1583488482
0,1583488484
0,1583488486
0,1583490077
1,1583490079
0,1583490079
0,1583249402
0,1583249737
0,1583249738
0,1583250356
1,1583250358
0,1583250361
1,1583250362
0,1583250363
0,1583250364
0,1583250585
1,1583250586
0,1583250590
1,1583251109
1,1583251110
0,1583251113
1,1583251136
1,1583251138
0,1583251148
1,1583488144
0,1583488150
1,1583488480
1,1583488481
1,1583488482
0,1583488484
0,1583488486
0,1583490077
1,1583490079
0,1583490079
0,1583335800
0,1583335825
0,1583335827
0,1583336509
1,1583336510
0,1583336516
1,1583337130
1,1583337131
0,1583337139
0,1583337153
